iter	Logloss
0	0.5896818416
1	0.508839986
2	0.4297361334
3	0.3682849924
4	0.3163321116
5	0.2641858758
6	0.2189531859
7	0.1879745683
8	0.1617125322
9	0.1397317223
10	0.120713629
11	0.1030799695
12	0.09117145467
13	0.07854025297
14	0.06788548224
15	0.05840808358
16	0.05047575339
17	0.04397897288
18	0.03768482199
19	0.03296909037
20	0.02819472328
21	0.02455916727
22	0.02158659523
23	0.01894431108
24	0.01679879511
25	0.01495088687
26	0.01326761774
27	0.01176015533
28	0.01044602792
29	0.009484448106
30	0.008513463219
31	0.00762163298
32	0.006862860588
33	0.006216066784
34	0.005701633509
35	0.005226235716
36	0.004720800281
37	0.004330711658
38	0.003946780446
39	0.003647475418
40	0.003372709404
41	0.003125251142
42	0.00287541137
43	0.002638129631
44	0.002467478118
45	0.002306349354
46	0.002147904363
47	0.002016071185
48	0.001877882873
49	0.001751001375
50	0.001645976332
51	0.001542741968
52	0.001448269653
53	0.001357876813
54	0.001277565719
55	0.001208009323
56	0.001138157591
57	0.001077215228
58	0.001027974746
59	0.000978489064
60	0.0009326732141
61	0.0008974962759
62	0.0008515423083
63	0.0008149038923
64	0.0007864008091
65	0.0007500703543
66	0.0007171593804
67	0.0006847643534
68	0.0006573109323
69	0.0006323434487
70	0.0006118006786
71	0.0005869546376
72	0.0005657934342
73	0.0005483022289
74	0.0005252848627
75	0.0005082161041
76	0.0004878681239
77	0.0004715504653
78	0.0004575038561
79	0.0004416889004
80	0.0004283164155
81	0.0004158846148
82	0.0004034485664
83	0.0003940968784
84	0.0003832012639
85	0.0003737231145
86	0.0003737231145
87	0.0003617107451
88	0.0003527465758
89	0.000343221492
90	0.000343221492
91	0.000343221492
92	0.0003340780783
93	0.000325539487
94	0.0003170775866
95	0.0003089409558
96	0.0003010538279
97	0.0003010599435
98	0.0002926445625
99	0.0002926359465
100	0.0002856699598
101	0.0002856697602
102	0.0002777793755
103	0.0002698052162
104	0.0002698052162
105	0.0002628392602
106	0.0002628366381
107	0.0002628350768
108	0.0002628350768
109	0.0002628281652
110	0.0002628275228
111	0.0002628256446
112	0.0002555471645
113	0.0002555386452
114	0.0002489267439
115	0.0002479859046
116	0.0002479814591
117	0.000247983803
118	0.0002479781991
119	0.0002479792303
120	0.0002479766441
121	0.0002479660231
122	0.0002479721752
123	0.0002479766232
124	0.0002479766232
125	0.0002479766232
126	0.000247978051
127	0.0002412514642
128	0.0002412504252
129	0.0002412504252
130	0.00024126019
131	0.00024126019
132	0.0002412446799
133	0.0002412496925
134	0.0002412496925
135	0.0002412496925
136	0.0002412400223
137	0.0002412459798
138	0.0002412459798
139	0.000241234121
140	0.0002412413104
141	0.0002412373261
142	0.0002412299266
143	0.000241222953
144	0.000241222953
145	0.0002412284862
146	0.0002412227513
147	0.000241226131
148	0.000241226131
149	0.000241226131
150	0.000241226131
151	0.0002412233711
152	0.0002412233711
153	0.0002412180841
154	0.000241219193
155	0.000241219193
156	0.000241219193
157	0.0002412101769
158	0.0002342301943
159	0.0002342301943
160	0.0002342301943
161	0.0002342378437
162	0.0002342291067
163	0.0002342291067
